Nombre y Apellido,DNI,Email,Telefono,Localidad,Fecha de alta,Estado
Facundo Gómez,24269701,facundo.gomez@hotmail.com,011 15 67970168,Avellaneda,27/02/2026,Activo
Agustina Sosa,44472422, agustina.sosa@hotmail.com ,+54 9 221 3776174,Lanús,17/05/2026,Activo
valentina acosta,23520412,valentina.acosta@gmail.com,(341) 7800-837,Ezpeleta  ,28/02/2026,Activo
Gonzalo Ramírez,42548631,gonzalo.ramirez@gmail.con,+54 9 11 37484777,Wilde  ,27/02/2025,Inactivo
Sofía Acosta,343630,SOFIA.ACOSTA@yahoo.com.ar,3510410423,Bernal,19 de julio de 2026,Activo
micaela ibarra,22.814.900,micaela.ibarra@outlook.com,3414833801,Lanús,17-02-2024,Pendiente
nicolás lópez,25417332,NICOLAS.LOPEZ@hotmail.com,351 0234483,Lanús  ,2024-12-19,activo
  Ezequiel Suárez  ,40.633.092,ezequiel.suarez@yahoo.com.ar,221 4708227,Lanús,2024-05-28,Inactivo
EZEQUIEL CASTRO,24387686, ezequiel.castro@hotmail.com ,(223) 2880-729,Berazategui,28 de noviembre de 2025,Activo
JULIETA ORTIZ,29.322.734,julieta.ortiz@hotmail.com,+54 9 221 6846563,Temperley  ,17/1/25,ACTIVO
Camila Acosta,38170699,camila.acosta@gmail.con,3413557063,Quilmes,23/2/26,ACTIVO
IVÁN FERNÁNDEZ,28797048,ivan.fernandez@outlook.com,3514409103,Lanús,28/03/2025,Pendiente
Camila De la Fuente,22503592,camila.delafuente@gmail.com,0223 15 1284529,Wilde,28-01-2024,Inactivo
MICAELA MARTÍNEZ,332480,MICAELA.MARTINEZ@gmail.com,(11) 1815-9083,Quilmes,2024-04-14,Inactivo
Joaquín Pereyra,41582379,joaquin.pereyragmail.com,(221) 1387-837,La Plata  ,15/9/25,ACTIVO
martín sosa,21563055, martin.sosa@hotmail.com ,(223) 2462-819,La Plata,2026-12-15,inactivo
Matías Fernández,28338085,matias.fernandez@gmail.con,221 4018780,Temperley,2026-05-27,Inactivo
Joaquín Castro,34029873,joaquin.castro@gmail.con,2215276018,Wilde,15/02/2025,Inactivo
sofía ibarra,36.976.626,sofia.ibarra@yahoo.com.ar,351 9340722,Ezpeleta,19/5/24,Activo
  Rocío López  ,42089564,rocio.lopezgmail.com,0341 15 7868433,Quilmes,21/2/24,Activo
EZEQUIEL FERNÁNDEZ,39.958.248,ezequiel.fernandez@outlook.com,0054 9 2216030926,Florencio Varela,23/03/2024,Pendiente
Valentina Ortiz,23404579,valentina.ortiz@yahoo.com.ar,+54 9 351 9013962,Wilde,28/8/25,activo
JOAQUÍN DEL VALLE,44842064,joaquin.delvalle@gmail.com,0351 15 7280385,Berazategui,24/09/2025,ACTIVO
facundo martínez,40376070,facundo.martinezgmail.com,0054 9 2215575918,Wilde,26/03/2025,Activo
camila vega,42.830.434, camila.vega@hotmail.com ,0223 15 6579754,Wilde,22-08-2026,Activo
Santiago Acosta,22702411,santiago.acosta@gmail.com,0054 9 2211373537,Berazategui,2024-07-19,activo
  Iván Benítez  ,30.690.833, ivan.benitez@outlook.com ,+54 9 221 8907866,La Plata,14/06/2024,inactivo
CAMILA ACOSTA,38.170.699,camila.acosta@gmail.com,341 3557063,Wilde,20/03/2026,activo
nicolás vega,37658949, nicolas.vega@outlook.com ,0221 15 8306400,Bernal,14-08-2024,Pendiente
nicolás ortiz,38171977,nicolas.ortiz@gmail.com,223 5393363,Wilde,24/10/26,Pendiente
  Sofía Fernández  ,44533636, sofia.fernandez@outlook.com ,351 9746507,Avellaneda,28/07/2025,Inactivo
Agustina Benítez,26782754, agustina.benitez@yahoo.com.ar ,(11) 6668-3645,La Plata  ,25-07-2024,Inactivo
LUCÍA MARTÍNEZ, 27803983 ,lucia.martinezgmail.com,0223 15 0424861,Temperley  ,27/05/2026,ACTIVO
EZEQUIEL DEL VALLE,22910842,ezequiel.delvalle@hotmail.com,(341) 7612-220,Wilde,17/03/2025,Pendiente
  Florencia Sosa  , 43461858 ,florencia.sosagmail.com,0223 15 4837261,Lanús,24/12/2024,activo
Facundo Martínez,33.964.723,facundo.martinez@hotmail.com,351 6515055,Lanús,25/07/2024,inactivo
Joaquín  Castro,45148920,JOAQUIN.CASTRO@yahoo.com.ar,2216330434,Avellaneda  ,27-06-2026,inactivo
FLORENCIA SUÁREZ,21.070.174,florencia.suarez@outlook.com,+54 9 351 6557210,La Plata,15/07/2025,Inactivo
rocío sosa,45.054.493, rocio.sosa@yahoo.com.ar ,1167232686,Florencio Varela,13/12/25,inactivo
Iván Ibarra,45646033,ivan.ibarra@hotmail.com,351 7249208,Temperley,20/11/2024,Activo
ROCÍO SOSA,45.054.493,rocío.sosa@gmail.com,11 67232686,La Plata,2026-02-26,activo
Ezequiel Acosta, 42903137 ,EZEQUIEL.ACOSTA@hotmail.com,0341 15 3048137,Lanús  ,18/08/2026,Inactivo
iván quiroga,37.188.669,ivan.quiroga@outlook.com,0054 9 1113114402,Lanús,28 de septiembre de 2026,Activo
JULIETA ORTIZ,29.322.734,julieta.ortiz@gmail.com,221 6846563,Wilde,16 de abril de 2026,activo
Agustina Fernández,43.092.347,agustina.fernandez@yahoo.com.ar,2216140141,Florencio Varela,17/05/2025,Pendiente
