Razon Social,CUIT,Concepto,Importe,Fecha de pago,Fecha de vencimiento,Comprobante
Nicolás  Ruiz,20335722494,Honorarios,"106.192,52",24/07/2025,19/04/2026,C-0001-00087543
  Facundo Suárez  ,20207421333,anticipo,USD 937.27,20-04-2026,2026-11-16,B-0005-00082350
Joaquín Molina,20-28133464-7,anticipo,"346.614,97",2025-10-26,18/11/2026,B-0001-00050949
Tomás Ramírez,20-42806274-5,Honorarios,"$ 190,230.99",16/08/2026,25 de septiembre de 2026,B-0005-00049249
  Santiago Benítez  ,20-24905505-1,Honorarios,"$ 370.557,22",23 de mayo de 2026,14/12/2026,B-0007-00054748
Gonzalo Ortiz,20-21961406-4,Consulta inicial,"$ 436,040.45",2025-03-23,28-10-2026,B-0006-00055813
Micaela Molina,20 44901077 9,honorarios ,112691.58,14/11/2026,25/07/2026,A-0007-00055122
Micaela López,20 33080742 4,anticipo,"270.774,10",25-07-2025,27/08/2026,A-0008-00060985
  Micaela Castro  ,20226832794,Consulta inicial,"U$S 795,57",16/10/2025,22/08/2026,A-0004-00008588
EZEQUIEL RODRÍGUEZ,20260572114,Anticipo,$ 310.799,2025-09-28,14/03/2026,B-0003-00044382
Joaquín Ramírez,20277945836,Gastos de gestión,72318.94,26-11-2026,21/9/26,A-0002-00066510
Iván Rodríguez,20-42429725-9,Servicio mensual,270052.97,27-12-2025,16/02/2026,A-0003-00062029
florencia molina,20-40575029-6,Servicio mensual,USD 519.32,26 de julio de 2025,15 de agosto de 2026,B-0003-00029616
FLORENCIA VEGA,20-28338176-6,Consulta inicial,"U$S 80,57",13-02-2025,19/11/2026,A-0009-00079703
sofía acosta,20372023172,Honorarios,"$ 223.837,94",14/4/26,14/03/2026,B-0001-00078568
Joaquín Rodríguez,20-33630403-3,Honorarios,"$ 184,598.11",24 de febrero de 2026,17/3/26,A-0009-00022517
Santiago Ruiz,20453731821,Servicio mensual,"$ 165.585,14",21-04-2026,23/4/26,A-0003-00052884
Brenda Gómez,20-42055436-3,honorarios ,"USD 1,431.51",27/3/25,19/03/2026,C-0003-00079891
joaquín de la fuente,20-32892716-1,Gastos de gestión,"U$S 290,61",19/05/2025,14/08/2026,B-0004-00065600
Gonzalo López,20212799514,CONSULTA INICIAL,"$ 116,314.89",2025-10-27,2026-12-28,C-0006-00068379
  Micaela López  ,20-33080742-4,Honorarios,"270.774,10",19/9/26,26/06/2026,A-0001-00006911
Valentina Ortiz,20 39934296 2,Anticipo,"$ 365,140.08",23/11/2026,2026-08-21,A-0006-00060558
lucía pereyra,20-28736522-6,Anticipo,"$ 406.401,15",20/6/26,2026-11-28,C-0001-00003476
Matías López,20410699088,honorarios ,"59.244,04",19/6/25,18/7/26,C-0004-00060413
Nicolás Quiroga,20307481724,Anticipo,"$ 214.249,37",14/07/2026,23 de octubre de 2026,A-0009-00045240
Camila Gómez,20-30980662-0,Honorarios,$ 187.891,26/02/2026,17-07-2026,A-0003-00052137
Nicolás Castro,20264281491,Consulta inicial,$ 365.952,24/10/2026,19/06/2026,C-0002-00021575
AGUSTINA MOLINA,20295060108,Anticipo,"209.298,10",19/6/25,19/07/2026,B-0003-00055543
  Matías López  ,20-41069908-8,Honorarios,$ 59.244,31/02/2026,2026-07-23,A-0001-00035612
  Ezequiel Sosa  ,20391374504,Consulta inicial,"$ 381.979,11",16-02-2025,24/03/2026,C-0001-00004047
Sofía López,20-32876001-1,Consulta inicial,$ 389.238,23/08/2025,25/11/2026,C-0003-00083929
MARTÍN MARTÍNEZ,20-43240645-9,Anticipo,"$ 34.830,54",25/12/2025,19/04/2026,A-0002-00098491
Facundo Vega,20-23351319-9,Anticipo,"U$S 1.204,59",21/06/2025,24/01/2026,C-0009-00062402
Florencia Acosta,20-21603108-4,Honorarios,USD 402.71,2026-02-24,22-07-2026,A-0006-00081780
  Facundo Ruiz  ,20450200264,Anticipo,"U$S 666,35",19 de septiembre de 2025,22/02/2026,A-0009-00026482
Nicolás Suárez,20456209964,anticipo,"$ 395.821,16",26/6/25,14/08/2026,A-0002-00096139
  Santiago Benítez  ,20288972088,CONSULTA INICIAL,USD 510.96,19/08/2026,2026-02-19,C-0004-00019172
Gonzalo Pereyra,20245214166,honorarios ,"USD 1,218.13",21/07/2026,24-01-2026,C-0008-00078890
Facundo Fernández,20201463530,Servicio mensual,"$ 59,495.39",18/10/26,2026-04-20,A-0002-00064264
Santiago Molina,20357068593,Servicio mensual,"368.347,89",25-05-2025,2026-07-18,C-0005-00046921
